round,accuracy,loss,f1,precision,recall,auc,time
1,0.7183,1.0362,0.4180,0.3592,0.5000,0.7262,47.09
2,0.7183,0.9002,0.4180,0.3592,0.5000,0.9319,46.13
3,0.7183,1.2299,0.4180,0.3592,0.5000,0.8452,46.03
4,0.7183,1.2306,0.4180,0.3592,0.5000,0.9419,46.28
5,0.7183,1.7429,0.4180,0.3592,0.5000,0.9111,45.74
6,0.7183,1.3451,0.4180,0.3592,0.5000,0.9218,45.53
7,0.7183,1.0002,0.4180,0.3592,0.5000,0.9408,45.28
8,0.7183,1.3737,0.4180,0.3592,0.5000,0.8892,45.78
9,0.7183,0.7098,0.4180,0.3592,0.5000,0.9648,45.49
10,0.7183,0.7464,0.4180,0.3592,0.5000,0.9600,45.39
11,0.7183,0.7052,0.4180,0.3592,0.5000,0.9675,45.22
12,0.7183,0.6567,0.4180,0.3592,0.5000,0.9682,45.36
13,0.7183,0.9586,0.4180,0.3592,0.5000,0.9524,45.57
14,0.7192,0.6649,0.4213,0.8595,0.5015,0.9692,48.31
15,0.7200,0.7000,0.4245,0.8598,0.5030,0.9713,46.62
