round,accuracy,loss,f1,precision,recall,auc,time
1,0.7183,0.5577,0.4180,0.3592,0.5000,0.9063,51.12
2,0.7183,0.8787,0.4180,0.3592,0.5000,0.9202,49.57
3,0.7757,0.4529,0.6253,0.8041,0.6166,0.9348,47.57
4,0.7183,1.3249,0.4180,0.3592,0.5000,0.8903,48.59
5,0.7295,0.8155,0.4665,0.7848,0.5225,0.9195,48.84
6,0.7671,0.6342,0.5881,0.8355,0.5922,0.9291,48.57
7,0.7192,1.1566,0.4213,0.8595,0.5015,0.9068,49.08
8,0.7825,0.5349,0.6272,0.8556,0.6186,0.9425,48.94
9,0.7663,0.5619,0.5790,0.8610,0.5870,0.9435,54.33
10,0.8416,0.3735,0.7622,0.8824,0.7281,0.9493,53.10
11,0.7483,0.7411,0.5237,0.8570,0.5541,0.9254,51.30
12,0.7705,0.5951,0.5925,0.8573,0.5955,0.9468,49.11
13,0.7911,0.5302,0.6432,0.8819,0.6301,0.9511,50.01
14,0.8296,0.4481,0.7354,0.8848,0.7031,0.9546,51.82
15,0.7979,0.5668,0.6600,0.8852,0.6423,0.9462,48.48
