round,FedAvg_acc,FedAvg_loss,FedProx_acc,FedProx_loss,SCAFFOLD_acc,SCAFFOLD_loss,FedNova_acc,FedNova_loss,FedAdam_acc,FedAdam_loss,FedYogi_acc,FedYogi_loss,FedAdagrad_acc,FedAdagrad_loss,Per-FedAvg_acc,Per-FedAvg_loss,Ditto_acc,Ditto_loss
1,0.4802,0.6980,0.4802,0.6980,0.4802,0.6980,0.4928,0.6908,0.4995,0.6932,0.4995,0.6932,0.5234,0.7303,0.4808,0.6980,0.4815,0.6981
2,0.5122,0.6964,0.5116,0.6964,0.5122,0.6964,0.5234,0.6884,0.5234,0.6902,0.5234,0.6902,0.4766,0.7074,0.5230,0.6965,0.5043,0.6966
3,0.5327,0.6952,0.5321,0.6953,0.5327,0.6952,0.5240,0.6866,0.5234,0.6915,0.5234,0.6915,0.5567,0.6904,0.5321,0.6955,0.5302,0.6954
4,0.5405,0.6943,0.5423,0.6943,0.5405,0.6943,0.5414,0.6846,0.5234,0.6869,0.5234,0.6870,0.6464,0.6845,0.5399,0.6945,0.5447,0.6945
5,0.5158,0.6935,0.5164,0.6935,0.5158,0.6935,0.5360,0.6825,0.5523,0.6786,0.5475,0.6787,0.6019,0.6774,0.5230,0.6938,0.5164,0.6936
6,0.5068,0.6927,0.5068,0.6927,0.5068,0.6927,0.5607,0.6804,0.6333,0.6730,0.6295,0.6731,0.6751,0.6665,0.5068,0.6930,0.5080,0.6929
7,0.5025,0.6922,0.5025,0.6922,0.5025,0.6922,0.5756,0.6779,0.6822,0.6674,0.6855,0.6676,0.6436,0.6533,0.5068,0.6924,0.5049,0.6923
8,0.4977,0.6917,0.4977,0.6917,0.4977,0.6917,0.6049,0.6752,0.5941,0.6601,0.5965,0.6604,0.6138,0.6768,0.5025,0.6918,0.5025,0.6918
9,0.4953,0.6912,0.4953,0.6913,0.4953,0.6912,0.6063,0.6721,0.6088,0.6524,0.6069,0.6530,0.5706,0.8537,0.4989,0.6913,0.4989,0.6913
10,0.4953,0.6909,0.4953,0.6909,0.4953,0.6909,0.6715,0.6694,0.7253,0.6323,0.7297,0.6333,0.5206,0.7082,0.4984,0.6909,0.4984,0.6909
11,0.4979,0.6905,0.4979,0.6905,0.4979,0.6905,0.6002,0.6665,0.6808,0.6198,0.6808,0.6207,0.5947,0.9075,0.4985,0.6905,0.5004,0.6904
12,0.4985,0.6901,0.4979,0.6901,0.4985,0.6901,0.6598,0.6620,0.6921,0.6006,0.6925,0.6024,0.6249,0.6631,0.4985,0.6901,0.5017,0.6900
