round,SCAFFOLD_acc,SCAFFOLD_loss,SCAFFOLD_f1,SCAFFOLD_prec,SCAFFOLD_rec,SCAFFOLD_auc,FedProx_acc,FedProx_loss,FedProx_f1,FedProx_prec,FedProx_rec,FedProx_auc,FedNova_acc,FedNova_loss,FedNova_f1,FedNova_prec,FedNova_rec,FedNova_auc
1,0.5344,0.6968,0.6858,0.5350,0.9938,0.6498,0.5300,0.6969,0.6827,0.5337,0.9877,0.6492,0.5344,0.6966,0.6858,0.5350,0.9938,0.6481
2,0.5300,0.6872,0.6845,0.5300,1.0000,0.6624,0.5300,0.6879,0.6845,0.5300,1.0000,0.6612,0.5300,0.6874,0.6845,0.5300,1.0000,0.6592
3,0.5220,0.6741,0.6763,0.5252,0.9804,0.6753,0.5220,0.6810,0.6763,0.5252,0.9804,0.6739,0.5220,0.6804,0.6763,0.5252,0.9804,0.6705
4,0.5838,0.6674,0.6055,0.5485,0.7582,0.6807,0.5730,0.6758,0.6786,0.5471,0.9085,0.6823,0.5757,0.6752,0.6115,0.5371,0.7712,0.6782
5,0.5892,0.6639,0.4903,0.3929,0.6667,0.6835,0.5811,0.6718,0.5423,0.5211,0.6993,0.6862,0.5919,0.6712,0.5031,0.7263,0.6732,0.6796
6,0.5892,0.6617,0.4903,0.3929,0.6667,0.6862,0.5892,0.6685,0.4903,0.3929,0.6667,0.6912,0.5952,0.6680,0.4929,0.3958,0.6667,0.6852
7,0.5892,0.6602,0.4903,0.3929,0.6667,0.6879,0.5982,0.6660,0.4943,0.3973,0.6667,0.6964,0.6312,0.6655,0.5077,0.4166,0.6541,0.6892
8,0.5892,0.6592,0.4903,0.3929,0.6667,0.6898,0.6192,0.6640,0.5042,0.4087,0.6667,0.6991,0.6582,0.6635,0.5067,0.4488,0.5849,0.6942
9,0.5862,0.6584,0.4875,0.3913,0.6604,0.6980,0.6612,0.6623,0.5196,0.4427,0.6289,0.7053,0.6432,0.6619,0.4327,0.4946,0.4465,0.6991
10,0.6012,0.6576,0.4942,0.3988,0.6604,0.7009,0.6462,0.6609,0.4741,0.4535,0.5157,0.7098,0.6102,0.6607,0.2991,0.5671,0.3459,0.7049
11,0.6222,0.6573,0.5044,0.4106,0.6604,0.7037,0.6552,0.6598,0.4653,0.4918,0.4843,0.7155,0.6042,0.6596,0.2748,0.2338,0.3333,0.7096
12,0.5982,0.6570,0.4928,0.3973,0.6604,0.7094,0.6372,0.6589,0.4137,0.4969,0.4277,0.7201,0.6042,0.6587,0.2748,0.2338,0.3333,0.7173
13,0.5922,0.6568,0.4901,0.3943,0.6604,0.7120,0.6222,0.6581,0.3426,0.5671,0.3711,0.7257,0.6042,0.6579,0.2748,0.2338,0.3333,0.7232
14,0.6222,0.6565,0.5044,0.4106,0.6604,0.7152,0.6162,0.6574,0.3216,0.5671,0.3585,0.7305,0.6042,0.6572,0.2748,0.2338,0.3333,0.7269
15,0.6312,0.6556,0.5034,0.4177,0.6352,0.7174,0.6102,0.6567,0.2991,0.5671,0.3459,0.7357,0.6042,0.6565,0.2748,0.2338,0.3333,0.7330
16,0.6372,0.6552,0.5052,0.4225,0.6289,0.7191,0.6102,0.6562,0.2991,0.5671,0.3459,0.7421,0.6042,0.6559,0.2748,0.2338,0.3333,0.7397
17,0.6432,0.6545,0.5006,0.4309,0.5975,0.7225,0.6102,0.6555,0.2991,0.5671,0.3459,0.7460,0.6042,0.6552,0.2748,0.2338,0.3333,0.7455
18,0.6552,0.6536,0.5081,0.4427,0.5975,0.7250,0.6102,0.6548,0.2991,0.5671,0.3459,0.7500,0.6042,0.6546,0.2748,0.2338,0.3333,0.7511
19,0.6432,0.6533,0.5023,0.4301,0.6038,0.7278,0.6102,0.6542,0.2991,0.5671,0.3459,0.7553,0.6042,0.6539,0.2748,0.2338,0.3333,0.7573
20,0.6522,0.6528,0.5045,0.4408,0.5912,0.7303,0.6102,0.6536,0.2991,0.5671,0.3459,0.7588,0.6042,0.6534,0.2748,0.2338,0.3333,0.7621
21,0.6492,0.6526,0.5060,0.4356,0.6038,0.7346,0.6102,0.6531,0.2991,0.5671,0.3459,0.7660,0.6042,0.6528,0.2748,0.2338,0.3333,0.7668
22,0.6462,0.6517,0.5025,0.4338,0.5975,0.7366,0.6102,0.6524,0.2991,0.5671,0.3459,0.7697,0.6042,0.6521,0.2748,0.2338,0.3333,0.7724
23,0.6462,0.6514,0.5074,0.4311,0.6164,0.7394,0.6102,0.6518,0.2991,0.5671,0.3459,0.7745,0.6042,0.6516,0.2748,0.2338,0.3333,0.7761
24,0.6492,0.6509,0.5076,0.4347,0.6101,0.7420,0.6132,0.6513,0.3105,0.5671,0.3522,0.7763,0.6042,0.6511,0.2748,0.2338,0.3333,0.7786
25,0.6492,0.6504,0.5076,0.4347,0.6101,0.7435,0.6132,0.6508,0.3105,0.5671,0.3522,0.7803,0.6042,0.6505,0.2748,0.2338,0.3333,0.7806
26,0.6492,0.6495,0.5076,0.4347,0.6101,0.7484,0.6252,0.6502,0.3526,0.5671,0.3774,0.7816,0.6102,0.6499,0.2991,0.5671,0.3459,0.7834
27,0.6522,0.6490,0.5095,0.4375,0.6101,0.7492,0.6282,0.6495,0.3700,0.5338,0.3899,0.7848,0.6102,0.6491,0.2991,0.5671,0.3459,0.7862
28,0.6552,0.6481,0.5114,0.4403,0.6101,0.7498,0.6282,0.6489,0.3700,0.5338,0.3899,0.7857,0.6102,0.6485,0.2991,0.5671,0.3459,0.7880
29,0.6522,0.6480,0.5095,0.4375,0.6101,0.7517,0.6342,0.6483,0.3876,0.5393,0.4025,0.7879,0.6102,0.6479,0.2991,0.5671,0.3459,0.7893
30,0.6552,0.6470,0.5114,0.4403,0.6101,0.7515,0.6342,0.6477,0.3942,0.5195,0.4088,0.7902,0.6102,0.6473,0.2991,0.5671,0.3459,0.7906
31,0.6492,0.6468,0.5076,0.4347,0.6101,0.7520,0.6342,0.6472,0.3942,0.5195,0.4088,0.7916,0.6132,0.6467,0.3105,0.5671,0.3522,0.7928
32,0.6492,0.6463,0.5076,0.4347,0.6101,0.7533,0.6342,0.6465,0.3942,0.5195,0.4088,0.7928,0.6162,0.6460,0.3216,0.5671,0.3585,0.7938
33,0.6492,0.6451,0.5076,0.4347,0.6101,0.7545,0.6312,0.6458,0.3986,0.4887,0.4151,0.7958,0.6222,0.6453,0.3426,0.5671,0.3711,0.7955
34,0.6552,0.6442,0.5081,0.4427,0.5975,0.7549,0.6312,0.6452,0.3986,0.4887,0.4151,0.7968,0.6222,0.6446,0.3426,0.5671,0.3711,0.7978
35,0.6552,0.6431,0.5064,0.4440,0.5912,0.7555,0.6402,0.6445,0.4209,0.5004,0.4340,0.7975,0.6252,0.6438,0.3526,0.5671,0.3774,0.7983
36,0.6522,0.6421,0.5027,0.4421,0.5849,0.7563,0.6402,0.6435,0.4209,0.5004,0.4340,0.7990,0.6252,0.6428,0.3608,0.5301,0.3836,0.7986
37,0.6663,0.6422,0.5471,0.7792,0.6171,0.7576,0.6552,0.6427,0.4581,0.5054,0.4717,0.7998,0.6282,0.6420,0.3700,0.5338,0.3899,0.7983
38,0.6633,0.6419,0.5452,0.7761,0.6171,0.7577,0.6576,0.6420,0.4810,0.8290,0.4848,0.8000,0.6369,0.6412,0.4070,0.8528,0.4153,0.7997
39,0.6603,0.6412,0.5433,0.7730,0.6171,0.7580,0.6606,0.6413,0.4904,0.8252,0.4973,0.8004,0.6396,0.6404,0.4314,0.8264,0.4345,0.7996
40,0.6684,0.6402,0.5764,0.7730,0.6367,0.7602,0.6744,0.6405,0.5378,0.8338,0.5235,0.8011,0.6450,0.6396,0.4547,0.8264,0.4475,0.7997
41,0.6710,0.6399,0.5867,0.7730,0.6432,0.7588,0.6684,0.6396,0.5332,0.8171,0.5235,0.8006,0.6623,0.6386,0.5050,0.8398,0.4858,0.8002
42,0.6740,0.6391,0.5886,0.7761,0.6432,0.7583,0.6710,0.6390,0.5435,0.8171,0.5300,0.8004,0.6680,0.6379,0.5219,0.8425,0.4986,0.7996
43,0.6710,0.6384,0.5867,0.7730,0.6432,0.7576,0.6801,0.6380,0.5627,0.8194,0.5552,0.8006,0.6740,0.6369,0.5386,0.8387,0.5174,0.8000
44,0.6714,0.6370,0.5783,0.7761,0.6367,0.7585,0.6831,0.6370,0.5650,0.8264,0.5552,0.7996,0.6740,0.6358,0.5386,0.8387,0.5174,0.7996
45,0.6684,0.6362,0.5729,0.7754,0.6241,0.7587,0.6831,0.6362,0.5677,0.8215,0.5615,0.8000,0.6740,0.6349,0.5386,0.8387,0.5174,0.7994
46,0.6740,0.6354,0.5886,0.7761,0.6432,0.7575,0.6827,0.6351,0.5753,0.8150,0.5680,0.8004,0.6767,0.6338,0.5485,0.8387,0.5240,0.8001
47,0.6684,0.6352,0.5853,0.7313,0.6432,0.7577,0.6857,0.6341,0.5882,0.7838,0.5808,0.8012,0.6767,0.6328,0.5636,0.7918,0.5431,0.8013
48,0.6714,0.6340,0.5872,0.7344,0.6432,0.7580,0.6857,0.6331,0.5882,0.7838,0.5808,0.8021,0.6797,0.6316,0.5692,0.7942,0.5494,0.8010
49,0.6680,0.6329,0.5859,0.7377,0.6246,0.7585,0.6857,0.6320,0.5882,0.7838,0.5808,0.8023,0.6767,0.6304,0.5636,0.7918,0.5431,0.8015
50,0.6680,0.6323,0.5938,0.7141,0.6312,0.7578,0.6831,0.6308,0.5866,0.7565,0.5808,0.8028,0.6797,0.6291,0.5692,0.7942,0.5494,0.8029
