round,FedNova_acc,FedNova_loss,FedNova_f1,FedNova_prec,FedNova_rec,FedNova_auc,FedAvg_acc,FedAvg_loss,FedAvg_f1,FedAvg_prec,FedAvg_rec,FedAvg_auc,FedProx_acc,FedProx_loss,FedProx_f1,FedProx_prec,FedProx_rec,FedProx_auc
1,0.5152,0.6925,0.4494,0.3402,0.6667,0.6509,0.5152,0.6925,0.4494,0.3402,0.6667,0.6490,0.5152,0.6925,0.4494,0.3402,0.6667,0.6489
2,0.5291,0.6917,0.5032,0.6736,0.6959,0.6623,0.5152,0.6918,0.4494,0.3402,0.6667,0.6586,0.5152,0.6918,0.4494,0.3402,0.6667,0.6584
3,0.5347,0.6910,0.5302,0.6365,0.7135,0.6682,0.5152,0.6911,0.4494,0.3402,0.6667,0.6651,0.5152,0.6911,0.4494,0.3402,0.6667,0.6650
4,0.5375,0.6904,0.5527,0.6021,0.7310,0.6775,0.5152,0.6905,0.4494,0.3402,0.6667,0.6715,0.5152,0.6905,0.4494,0.3402,0.6667,0.6713
5,0.5430,0.6897,0.5893,0.5764,0.7661,0.6847,0.5152,0.6900,0.4494,0.3402,0.6667,0.6774,0.5152,0.6900,0.4494,0.3402,0.6667,0.6772
6,0.5625,0.6892,0.6494,0.5728,0.8421,0.6929,0.5152,0.6894,0.4494,0.3402,0.6667,0.6839,0.5152,0.6894,0.4494,0.3402,0.6667,0.6838
7,0.5625,0.6887,0.6637,0.5584,0.8772,0.6986,0.5236,0.6889,0.4827,0.6736,0.6842,0.6901,0.5236,0.6889,0.4827,0.6736,0.6842,0.6899
8,0.5541,0.6883,0.6643,0.5434,0.8947,0.7063,0.5264,0.6885,0.4931,0.6736,0.6901,0.6947,0.5264,0.6885,0.4931,0.6736,0.6901,0.6948
9,0.5569,0.6879,0.6750,0.5412,0.9240,0.7121,0.5291,0.6880,0.5032,0.6736,0.6959,0.7002,0.5291,0.6881,0.5032,0.6736,0.6959,0.6997
10,0.5597,0.6874,0.6800,0.5420,0.9357,0.7170,0.5291,0.6876,0.5032,0.6736,0.6959,0.7048,0.5291,0.6876,0.5032,0.6736,0.6959,0.7046
11,0.5430,0.6871,0.6732,0.5263,0.9474,0.7228,0.5347,0.6872,0.5223,0.6736,0.7076,0.7116,0.5375,0.6873,0.5314,0.6736,0.7135,0.7114
12,0.5397,0.6868,0.6769,0.5218,0.9708,0.7264,0.5453,0.6869,0.5499,0.6746,0.7251,0.7176,0.5453,0.6869,0.5499,0.6746,0.7251,0.7175
13,0.5511,0.6864,0.6820,0.5273,0.9708,0.7300,0.5397,0.6865,0.5324,0.6746,0.7135,0.7210,0.5397,0.6865,0.5324,0.6746,0.7135,0.7212
