round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.5000,0.7050,0.6667,0.5000,1.0000,0.8014,0.77
2,0.5000,0.7022,0.0000,0.0000,0.0000,0.6774,0.08
3,0.5000,0.6928,0.0000,0.0000,0.0000,0.7587,0.08
4,0.5000,0.6894,0.0000,0.0000,0.0000,0.7802,0.08
5,0.5719,0.6812,0.2872,0.8571,0.1725,0.7781,0.08
6,0.6350,0.6638,0.7232,0.5824,0.9537,0.7960,0.08
7,0.5000,0.7264,0.0000,0.0000,0.0000,0.7535,0.07
8,0.5000,0.8925,0.6667,0.5000,1.0000,0.8138,0.07
9,0.6744,0.6811,0.5809,0.8149,0.4512,0.7985,0.07
10,0.7100,0.6698,0.7302,0.6826,0.7850,0.7992,0.08
11,0.7131,0.6563,0.7298,0.6897,0.7750,0.7986,0.08
12,0.7212,0.6371,0.7237,0.7174,0.7300,0.7967,0.07
