round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.4970,0.7001,0.6639,0.4985,0.9935,0.3057,0.33
2,0.4328,0.7009,0.1764,0.3219,0.1215,0.3822,0.22
3,0.5000,0.7048,0.6667,0.5000,1.0000,0.6468,0.22
4,0.5008,0.7028,0.0040,0.8000,0.0020,0.7041,0.21
5,0.5000,0.7073,0.0000,0.0000,0.0000,0.7565,0.22
6,0.5925,0.6476,0.7040,0.5528,0.9690,0.7801,0.30
7,0.6385,0.6194,0.7180,0.5886,0.9205,0.7779,0.21
8,0.5000,1.0759,0.0000,0.0000,0.0000,0.7287,0.21
9,0.6940,0.5970,0.6739,0.7212,0.6325,0.7726,0.21
10,0.6415,0.6291,0.6812,0.6133,0.7660,0.7197,0.21
11,0.6045,0.6577,0.7087,0.5609,0.9620,0.7742,0.21
12,0.5857,0.6868,0.3167,0.9035,0.1920,0.8020,0.22
13,0.6997,0.5738,0.7056,0.6922,0.7195,0.7738,0.21
14,0.6755,0.6038,0.6211,0.7461,0.5320,0.7538,0.22
15,0.6950,0.5872,0.6147,0.8345,0.4865,0.7977,0.22
16,0.6595,0.6118,0.5254,0.8667,0.3770,0.7929,0.22
17,0.5527,0.7343,0.6882,0.5282,0.9870,0.8087,0.22
18,0.7270,0.5570,0.7237,0.7326,0.7150,0.8025,0.21
19,0.5125,0.7383,0.0497,0.9808,0.0255,0.8074,0.21
20,0.6320,0.6163,0.4424,0.9125,0.2920,0.8203,0.22
21,0.6560,0.6189,0.7343,0.5982,0.9505,0.8217,0.20
22,0.7120,0.5637,0.7534,0.6587,0.8800,0.8173,0.21
23,0.6950,0.5823,0.6164,0.8305,0.4900,0.8050,0.21
24,0.7157,0.5606,0.6800,0.7778,0.6040,0.8046,0.21
25,0.6855,0.6130,0.5952,0.8348,0.4625,0.7985,0.21
26,0.7238,0.5395,0.6985,0.7688,0.6400,0.8102,0.21
27,0.7188,0.5581,0.6930,0.7628,0.6350,0.7939,0.21
28,0.7020,0.5784,0.6461,0.7953,0.5440,0.7813,0.21
29,0.6993,0.5735,0.6333,0.8111,0.5195,0.7977,0.22
30,0.6700,0.7295,0.7392,0.6110,0.9355,0.8151,0.21
31,0.6863,0.6122,0.7422,0.6298,0.9035,0.8134,0.22
32,0.5863,0.6663,0.3281,0.8726,0.2020,0.7525,0.21
33,0.5383,0.7638,0.1516,0.9322,0.0825,0.7486,0.21
34,0.7282,0.5360,0.7323,0.7215,0.7435,0.8068,0.21
35,0.7020,0.6101,0.7412,0.6550,0.8535,0.7883,0.21
36,0.7295,0.5587,0.7281,0.7318,0.7245,0.7996,0.22
37,0.5980,0.7125,0.3604,0.8813,0.2265,0.7857,0.21
38,0.7063,0.5670,0.6443,0.8166,0.5320,0.8043,0.27
39,0.7385,0.5340,0.7328,0.7492,0.7170,0.8108,0.25
40,0.7315,0.5519,0.7405,0.7166,0.7660,0.8014,0.21
41,0.7258,0.5606,0.6995,0.7735,0.6385,0.7970,0.21
42,0.7332,0.5589,0.7134,0.7707,0.6640,0.8064,0.22
43,0.5657,0.6878,0.2445,0.9398,0.1405,0.7669,0.22
44,0.5790,0.6613,0.2883,0.9317,0.1705,0.7954,0.22
45,0.7302,0.5495,0.7582,0.6870,0.8460,0.8181,0.21
46,0.7240,0.5370,0.7003,0.7660,0.6450,0.8096,0.21
47,0.7315,0.5352,0.7097,0.7724,0.6565,0.8135,0.21
48,0.7100,0.5585,0.6572,0.8035,0.5560,0.7970,0.21
49,0.6990,0.5726,0.6421,0.7918,0.5400,0.7917,0.21
50,0.6945,0.5902,0.7253,0.6589,0.8065,0.7757,0.21
