round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.4053,1.2592,0.3170,0.3068,0.3672,0.7197,61.55
2,0.4246,1.2014,0.3958,0.5757,0.4505,0.7220,53.97
3,0.4596,1.1566,0.4667,0.4922,0.4651,0.7369,54.76
4,0.4895,1.1372,0.5028,0.5255,0.5054,0.7466,58.01
5,0.4789,1.1204,0.4869,0.5095,0.4801,0.7589,66.09
6,0.5123,1.0922,0.5194,0.5303,0.5142,0.7692,57.33
7,0.5474,1.0604,0.5481,0.5658,0.5384,0.7923,60.43
8,0.5596,1.0272,0.5599,0.5910,0.5476,0.8093,58.08
9,0.5895,0.9977,0.5853,0.6060,0.5749,0.8185,56.76
10,0.6035,0.9693,0.6016,0.6267,0.5905,0.8281,51.54
